,챔피언,게임 결과,게임 시간,소환사 주문1,소환사 주문2,메인 룬,보조 룬,KDA,평점,레벨,CS,분당 CS,킬관여,아이템1,아이템2,아이템3,아이템4,아이템5,아이템6
175,이즈리얼,승리,35분 23초,회복,점멸,정복자,영감,8/5/12,4.00,16,213,6.0,59%,명석함의 아이오니아 장화,몰락한 왕의 검,무라마나,얼어붙은 건틀릿,죽음의 무도,마법무효화의 망토
176,카이사,패배,28분 27초,회복,점멸,칼날비,정밀,8/7/5,1.86,13,173,6.1,57%,광전사의 군화,정수 약탈자,내셔의 이빨,곡궁,증폭의 고서,톱날 단검
177,이즈리얼,패배,19분 52초,회복,점멸,정복자,영감,1/3/0,0.33,10,144,7.2,12%,명석함의 아이오니아 장화,마나무네,광휘의 검,빙하의 장막,롱소드,도란의 방패
178,아펠리오스,승리,34분 14초,회복,점멸,정복자,마법,4/5/16,4.00,16,209,6.1,62%,광전사의 군화,무한의 대검,망가진 초시계,루난의 허리케인,유령 무희,B.F. 대검
179,아펠리오스,승리,26분 24초,회복,점멸,정복자,마법,6/4/3,2.25,13,192,7.3,32%,광전사의 군화,무한의 대검,수은 장식띠,루난의 허리케인,단검,단검
180,애쉬,승리,21분 35초,회복,점멸,치명적 속도,영감,5/2/2,3.50,11,148,6.9,32%,광전사의 군화,몰락한 왕의 검,열정의 검,단검,단검,도란의 검
181,루시안,패배,35분 1초,회복,점멸,집중 공격,마법,3/9/12,1.67,15,227,6.5,48%,광전사의 군화,정수 약탈자,무한의 대검,군단의 방패,흡혈의 낫,도란의 검
182,아펠리오스,패배,30분 0초,회복,점멸,정복자,마법,9/6/13,3.67,15,199,6.6,81%,광전사의 군화,무한의 대검,루난의 허리케인,유령 무희,수호 천사,처형인의 대검
183,바루스,패배,25분 21초,회복,점멸,신비로운 유성,영감,1/6/4,0.83,12,180,7.1,18%,명석함의 아이오니아 장화,요우무의 유령검,망가진 초시계,쇠사슬 조끼,그림자 검,-
184,미스 포츈,패배,26분 3초,회복,점멸,집중 공격,마법,2/3/4,2.00,12,184,7.1,27%,광전사의 군화,정수 약탈자,B.F. 대검,곡괭이,민첩성의 망토,도란의 검
185,바루스,승리,32분 19초,회복,점멸,신비로운 유성,영감,5/3/16,7.00,14,210,6.5,88%,신속의 장화,요우무의 유령검,그림자 검,밤의 끝자락,처형인의 대검,-
186,바루스,승리,33분 4초,회복,점멸,신비로운 유성,영감,13/5/11,4.80,17,218,6.6,63%,명석함의 아이오니아 장화,요우무의 유령검,그림자 검,필멸자의 운명,흡혈의 낫,수호 천사
187,아펠리오스,패배,31분 50초,회복,점멸,정복자,마법,5/3/11,5.33,15,212,6.7,64%,광전사의 군화,망가진 초시계,-,무한의 대검,루난의 허리케인,죽음의 무도
188,바루스,승리,37분 25초,회복,점멸,신비로운 유성,영감,5/7/10,2.14,15,234,6.3,41%,명석함의 아이오니아 장화,요우무의 유령검,헤르메스의 시미터,그림자 검,밤의 끝자락,롱소드
189,바루스,패배,38분 32초,회복,점멸,신비로운 유성,영감,13/11/15,2.55,18,196,5.1,67%,명석함의 아이오니아 장화,요우무의 유령검,그림자 검,밤의 끝자락,필멸자의 운명,죽음의 무도
190,이즈리얼,패배,30분 29초,회복,점멸,정복자,영감,3/7/5,1.14,13,194,6.4,36%,명석함의 아이오니아 장화,무라마나,얼어붙은 건틀릿,콜필드의 전투 망치,군단의 방패,처형인의 대검
191,바루스,패배,32분 53초,회복,점멸,신비로운 유성,영감,3/4/4,1.75,14,183,5.6,47%,신속의 장화,그림자 검,요우무의 유령검,톱날 단검,처형인의 대검,루비 수정
192,바루스,패배,42분 14초,회복,점멸,신비로운 유성,영감,11/8/17,3.50,18,222,5.3,57%,신속의 장화,요우무의 유령검,드락사르의 황혼검,밤의 끝자락,수호 천사,필멸자의 운명
193,바루스,승리,14분 55초,회복,점멸,신비로운 유성,영감,6/0/9,18.00,9,101,6.8,62%,속도의 장화,요우무의 유령검,부패 물약,-,그림자 검,-
194,바루스,승리,21분 58초,회복,점멸,신비로운 유성,영감,5/3/8,4.33,12,155,7.1,54%,신속의 장화,요우무의 유령검,부패 물약,그림자 검,롱소드,-
195,바루스,승리,22분 49초,회복,점멸,신비로운 유성,영감,5/5/6,2.20,12,167,7.3,37%,신속의 장화,요우무의 유령검,부패 물약,그림자 검,톱날 단검,처형인의 대검
196,미스 포츈,패배,15분 36초,정화,점멸,집중 공격,마법,0/3/0,0.00,8,98,6.3,0%,광전사의 군화,B.F. 대검,-,롱소드,롱소드,도란의 검
197,이즈리얼,승리,23분 1초,회복,점멸,정복자,영감,5/2/11,8.00,12,174,7.6,70%,명석함의 아이오니아 장화,무라마나,-,얼어붙은 건틀릿,콜필드의 전투 망치,도란의 검
